PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Size (bytes),Time to first byte (ms),Loading time (ms),Depth,Is indexable page,No. of all inlinks,First found at
30,https://www.kinexisdigital.com/es/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,19975,1213,1214,0,true,192,
30,https://www.kinexisdigital.com/en/industries/technology/startups,Startups Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,19894,1193,1194,0,true,195,
30,https://www.kinexisdigital.com/es/industries/hospitality/resorts,Agencia de Marketing Resorts | KINEXIS,text/html; charset=utf-8,false,200,0,20236,1013,1013,0,true,192,
30,https://www.kinexisdigital.com/en,KINEXIS Digital - Turn Traffic Into Revenue,text/html; charset=utf-8,false,200,0,25370,1099,1101,0,true,195,
30,https://www.kinexisdigital.com/es/industries/healthcare/physical-therapy,Agencia de Marketing Physical Therapy | KINEXIS,text/html; charset=utf-8,false,200,0,20247,1091,1091,0,true,192,
30,https://www.kinexisdigital.com/en/industries/home-services/electrical,Electrical Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,19756,1296,1297,0,true,195,
30,https://www.kinexisdigital.com/en/services/ppc-management,Multi-Channel PPC Management | KINEXIS,text/html; charset=utf-8,false,200,0,24092,1471,1471,0,true,195,
30,https://www.kinexisdigital.com/es/industries/ecommerce/shopify-brands,Agencia de Marketing Shopify Brands | KINEXIS,text/html; charset=utf-8,false,200,0,20309,1216,1217,0,true,192,
30,https://www.kinexisdigital.com/en/services/video-marketing,"Video Marketing for Ads, Social & Web | KINEXIS Digital",text/html; charset=utf-8,false,200,0,24218,1063,1063,0,true,195,
30,https://www.kinexisdigital.com/en/services/local-seo,Local SEO for Map Pack Rankings | KINEXIS,text/html; charset=utf-8,false,200,0,23180,1013,1013,0,true,195,
30,https://www.kinexisdigital.com/es/services/meta-ads,Agencia de Gestión Meta Ads | Facebook e… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,24746,1746,1747,0,true,192,
30,https://www.kinexisdigital.com/es/contact,Contacto KINEXIS Digital | Reserva una Llamada,text/html; charset=utf-8,false,200,0,19026,1874,1874,0,true,192,
30,https://www.kinexisdigital.com/en/services/meta-ads,Meta Ads Management Agency | KINEXIS,text/html; charset=utf-8,false,200,0,24180,1021,1022,0,true,195,
30,https://www.kinexisdigital.com/es/local-seo-vs-google-ads,SEO Local vs Google Ads | ¿Mapa o Anuncios?,text/html; charset=utf-8,false,200,0,18564,1040,1040,0,true,192,
20,https://www.kinexisdigital.com/es/locations/des-moines/seo,SEO Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,18728,1086,1087,0,true,4,
20,https://www.kinexisdigital.com/es/blog/attribution-models,Modelos de Atribución de Marketing Explicados | KINEXIS,text/html; charset=utf-8,false,200,0,21011,1057,1059,0,true,5,
20,https://www.kinexisdigital.com/en/solutions/cro-for-saas-companies,CRO for SaaS Companies | KINEXIS,text/html; charset=utf-8,false,200,0,18594,1154,1154,0,true,7,
20,https://www.kinexisdigital.com/en/blog/internal-linking-guide,Internal Linking Guide for SEO Authority | KINEXIS,text/html; charset=utf-8,false,200,0,20033,1024,1024,0,true,8,
20,https://www.kinexisdigital.com/es/locations/waterloo/google-ads,Google Ads Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,18722,1810,1811,0,true,4,
20,https://www.kinexisdigital.com/en/locations/waterloo/seo,SEO Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,18354,1005,1005,0,true,7,
10,http://www.kinexisdigital.com/en/industries/professional-services/medical-practices,Medical Practices Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,19869,1118,1119,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/locations/des-moines,Digital Marketing Agency Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,19067,1000,1000,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,Bars & Nightlife Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,19924,1049,1049,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/blog/ab-testing-framework,A/B Testing Framework for Marketers | KINEXIS,text/html; charset=utf-8,false,200,0,20330,1099,1099,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,17319,1026,1027,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/pricing/seo,"SEO Pricing | Plans from $2,500/mo | KINEXIS Digital",text/html; charset=utf-8,false,200,0,22689,1115,1115,2,false,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/solutions,Marketing Solutions | KINEXIS Digital,text/html; charset=utf-8,false,200,0,18001,1088,1089,2,false,189,http://www.kinexisdigital.com/en
1,http://www.kinexisdigital.com/en/case-studies/dental-practice-local-seo,Dental Practice Case Study | KINEXIS,text/html; charset=utf-8,false,200,0,18334,1007,1007,2,false,13,http://www.kinexisdigital.com/en
0,http://www.kinexisdigital.com/en/blog/landing-page-optimization,Landing Page Optimization Playbook | KINEXIS,text/html; charset=utf-8,false,200,0,20263,1118,1118,4,false,2,http://www.kinexisdigital.com/en/pricing/web-design
0,http://www.kinexisdigital.com/en/blog/google-business-profile-tips,Google Business Profile: The Complete… | KINEXIS,text/html; charset=utf-8,false,200,0,20728,1040,1041,3,false,3,http://www.kinexisdigital.com/en/blog
0,http://www.kinexisdigital.com/en/locations/dallas/web-design,Web Design Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,18441,1006,1006,3,false,1,http://www.kinexisdigital.com/en/locations/dallas
0,http://www.kinexisdigital.com/en/locations/bogota/web-design,Web Design Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,18485,1149,1150,3,false,1,http://www.kinexisdigital.com/en/locations/bogota
0,http://www.kinexisdigital.com/en/locations/austin/ppc-management,PPC Management Austin | KINEXIS,text/html; charset=utf-8,false,200,0,18492,1016,1016,3,false,1,http://www.kinexisdigital.com/en/locations/austin
0,http://www.kinexisdigital.com/en/solutions/startup-marketing-agency,Startup Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,18547,1091,1091,3,false,2,http://www.kinexisdigital.com/en/solutions
